service_id,date,exception_type
SUN,20150907,1
WKDY,20150907,2
SUN,20151126,1
WKDY,20151126,2
SUN,20151225,1
WKDY,20151225,2
SUN,20160101,1
WKDY,20160101,2
SAT,20160118,1
WKDY,20160118,2
SAT,20160215,1
WKDY,20160215,2
SUN,20160530,1
WKDY,20160530,2
SUN,20160704,1
WKDY,20160704,2
SUN,20160905,1
WKDY,20160905,2
SUN,20161124,1
WKDY,20161124,2
SAT,20170116,1
WKDY,20170116,2
SAT,20170220,1
WKDY,20170220,2
SUN,20170529,1
WKDY,20170529,2
SUN,20170704,1
WKDY,20170704,2
SUN,20170904,1
WKDY,20170904,2
SUN,20171123,1
WKDY,20171123,2
SUN,20171225,1
WKDY,20171225,2
SUN,20180101,1
WKDY,20180101,2
